skill	scope	SKILL.md mirror	body lines	description chars	7d use	30d use
agent-harness-design	both	same	78	242	unknown	unknown
agent-introspection-debugging	both	same	153	129	unknown	unknown
agent-self-review	both	same	48	330	unknown	unknown
agent-sort	both	same	215	286	unknown	unknown
ai-automation-ops	both	same	75	258	unknown	unknown
ai-regression-testing	both	same	385	228	unknown	unknown
api-and-interface-design	both	same	294	203	unknown	unknown
api-design	both	same	32	230	unknown	unknown
article-writing	both	same	78	310	unknown	unknown
backend-patterns	both	same	30	203	unknown	unknown
brand-voice	both	same	96	252	unknown	unknown
browser-testing-with-devtools	both	same	304	326	unknown	unknown
build-playable-games	both	same	101	597	unknown	unknown
bun-runtime	both	same	83	123	unknown	unknown
ci-cd-and-automation	both	same	390	207	unknown	unknown
clickhouse-io	both	same	439	139	unknown	unknown
code-review-and-quality	both	same	347	237	unknown	unknown
code-simplification	both	same	331	244	unknown	unknown
code-tour	both	same	236	232	unknown	unknown
coding-standards	both	same	32	178	unknown	unknown
configure-ecc	both	same	367	215	unknown	unknown
content-engine	both	same	130	255	unknown	unknown
context-architecture	both	same	87	270	unknown	unknown
context-engineering	both	same	289	198	unknown	unknown
continuous-learning	both	same	123	113	unknown	unknown
continuous-learning-v2	both	same	365	235	unknown	unknown
council	both	same	203	174	unknown	unknown
crosspost	both	same	110	253	unknown	unknown
database-migrations	both	same	429	213	unknown	unknown
debugging-and-error-recovery	both	same	300	249	unknown	unknown
deep-research	both	same	154	232	unknown	unknown
deprecation-and-migration	both	same	206	208	unknown	unknown
dmux-workflows	both	same	143	271	unknown	unknown
documentation-and-adrs	both	same	278	224	unknown	unknown
documentation-lookup	both	same	89	212	unknown	unknown
domain-modeling	both	same	74	150	unknown	unknown
doubt-driven-development	both	same	243	339	unknown	unknown
e2e-testing	both	same	326	133	unknown	unknown
ecc-final-check	both	same	30	125	unknown	unknown
ecc-finish-work	both	same	28	145	unknown	unknown
ecc-task-workflow	both	same	31	168	unknown	unknown
eval-bottleneck-reduction	repo-only	n/a	132	324	unknown	unknown
eval-harness	both	same	270	106	unknown	unknown
everything-claude-code	both	same	442	110	unknown	unknown
exa-search	both	same	169	204	unknown	unknown
external-ai-tools	both	different	66	223	unknown	unknown
fal-ai-media	both	same	276	276	unknown	unknown
frontend-patterns	both	same	31	244	unknown	unknown
frontend-slides	both	same	183	311	unknown	unknown
frontend-ui-engineering	both	same	328	239	unknown	unknown
gamestudio-review	both	same	74	296	unknown	unknown
generate-explainer-html	both	same	177	687	unknown	unknown
generate-explainer-yaml	both	same	95	571	unknown	unknown
git-workflow-and-versioning	both	same	300	188	unknown	unknown
grill-with-docs	both	same	7	106	unknown	unknown
grilling	both	same	28	152	unknown	unknown
hookify-rules	both	same	128	183	unknown	unknown
idea-refine	both	same	178	335	unknown	unknown
incremental-implementation	both	same	245	221	unknown	unknown
interview-me	both	same	225	485	unknown	unknown
investor-materials	both	same	95	317	unknown	unknown
investor-outreach	both	same	90	255	unknown	unknown
iterative-retrieval	both	same	211	90	unknown	unknown
jpa-patterns	both	same	151	150	unknown	unknown
market-research	both	same	74	294	unknown	unknown
mcp-server-patterns	both	same	66	163	unknown	unknown
mle-workflow	both	same	346	227	unknown	unknown
multi-agent-prompting	both	same	68	268	unknown	unknown
nextjs-turbopack	both	same	43	110	unknown	unknown
observability-and-instrumentation	both	same	201	307	unknown	unknown
observable-development-loop	both	same	162	275	unknown	unknown
outcome-first-prompting	both	same	82	267	unknown	unknown
performance-optimization	both	same	350	230	unknown	unknown
plankton-code-quality	both	same	236	133	unknown	unknown
planning-and-task-breakdown	both	same	223	237	unknown	unknown
postgres-patterns	both	same	147	125	unknown	unknown
product-capability	both	same	140	299	unknown	unknown
prompt-thinking-patterns	both	same	63	310	unknown	unknown
security-and-hardening	both	same	461	212	unknown	unknown
security-review	both	same	31	218	unknown	unknown
shipping-and-launch	both	same	309	213	unknown	unknown
skill-stocktake	both	same	194	172	unknown	unknown
skill-use-manager	both	same	145	244	unknown	unknown
source-driven-development	both	same	194	219	unknown	unknown
spec-driven-development	both	same	200	202	unknown	unknown
sprite-gen	local-only	n/a	93	546	unknown	unknown
strategic-ai-wall-partner	both	same	129	442	unknown	unknown
strategic-compact	both	same	131	134	unknown	unknown
tdd-workflow	both	same	33	203	unknown	unknown
test-driven-development	both	same	383	231	unknown	unknown
using-agent-skills	both	same	189	218	unknown	unknown
verification-loop	both	same	126	61	unknown	unknown
video-editing	both	same	307	308	unknown	unknown
x-api	both	same	229	235	unknown	unknown
